source_id,company,source_class,title,url,published_or_observed_date,retrieved_date,primary_or_secondary,fields_supported,confidence,limitations,status
SRC-NR-001,NeuroReach,official_service,Официальная страница GEO-услуги,https://neuroreach.ru/,2026-08-08,2026-08-08,primary,"C1;C2",0.80,"дата публикации страницы не установлена; self-reported",COLLECTED
SRC-PP-001,Пиксель Плюс,official_service,AI SEO GEO,https://pixelplus.ru/ai-seo/,2026-08-08,2026-08-08,primary,"C1;C2",0.80,"дата публикации страницы не установлена; self-reported",COLLECTED
SRC-PP-002,Пиксель Плюс,official_news,Новая услуга AI SEO GEO,https://pixelplus.ru/studio/news/novaya-usluga-ai-seo-geo.html,2025-06-25,2026-08-08,primary,"C1;C4",1.00,"self-reported",COLLECTED
SRC-HP-001,Head Promo,official_service,GEO-продвижение в нейросетях,https://head-promo.ru/geo-prodvizhenie-v-ai/,2026-08-08,2026-08-08,primary,"C1;C2;C4",0.80,"дата публикации страницы не установлена; self-reported",COLLECTED
SRC-VV-001,VVERH DIGITAL,official_profile,О компании,https://vverh.digital/about/,2026-08-08,2026-08-08,primary,"C1;C5",0.80,"дата публикации страницы не установлена; self-reported",COLLECTED
SRC-DG-001,Digital Geeks,official_service,GEO продвижение в нейросетях,https://digitalgeeks.ru/generative-engine-optimization/,2026-08-08,2026-08-08,primary,"C1;C2",0.80,"дата публикации страницы не установлена; self-reported",COLLECTED
SRC-DG-002,Digital Geeks,official_profile,Официальный сайт агентства,https://digitalgeeks.ru/,2026-08-08,2026-08-08,primary,"C4;C5",0.80,"часть показателей является self-reported",COLLECTED
SRC-NR-002,NeuroReach,ugc_research,Исследование GEO на основе практического кейса i2CRM,https://www.sostav.ru/blogs/291981/96666,2026-07,2026-08-08,primary,"C2;C3;C4",0.80,"авторский блог на UGC-площадке; self-reported; не является независимой редакционной проверкой",COLLECTED
SRC-NR-003,NeuroReach,ugc_guide,Материал о GEO-продвижении бренда,https://www.sostav.ru/blogs/291981/94503,2026-07,2026-08-08,primary,"C1;C2;C4",0.80,"авторский блог на UGC-площадке; self-reported",COLLECTED
SRC-NR-004,NeuroReach,official_portfolio,Публичная витрина продвигаемых компаний на главной странице,https://neuroreach.ru/,2026-08-08,2026-08-08,primary,"C3;C5",0.80,"17 именованных проектов представлены логотипами и заявлением о продвижении; без отдельных карточек baseline, периода и единого проверочного набора промптов; self-reported",COLLECTED
SRC-ALL-001,ALL,external_trade_media,Анонс конференции GEO 2026 и состав спикеров,https://m.seonews.ru/events/konferentsiya-geo-2026-kak-brendam-popast-v-otvety-neyrosetey/,2026-03-26,2026-08-08,secondary,"C4;C6",0.40,"публикация основана на пресс-релизе организатора; подтверждает заявленную роль спикера, но не качество услуг",COLLECTED
SRC-PP-003,Пиксель Плюс,official_case_catalog,Каталог кейсов GEO-продвижения,https://pixelplus.ru/portfolio/ai-seo/,2026-08-08,2026-08-08,primary,"C2;C3",0.80,"self-reported; часть кейсов обезличена",COLLECTED
SRC-PP-004,Пиксель Плюс,official_case,Собственный кейс GEO-продвижения Пиксель Плюс,https://pixelplus.ru/portfolio/prodvizhenie_sajtov/pixelplus.html,2026,2026-08-08,primary,"C2;C3;C4",0.80,"self-case; результаты не подтверждены независимым аудитом",COLLECTED
SRC-PP-005,Пиксель Плюс,official_event_report,Отчёт о конференции GEO 2026,https://pixelplus.ru/studio/news/konferentsii-geo-2026-sostoyalas-zapis-uzhe-dostupna.html,2026-04-22,2026-08-08,primary,"C4;C5",1.00,"owned source; подтверждает собственный исследовательский контур, но не независимую оценку качества",COLLECTED
SRC-PP-006,Пиксель Плюс,external_client_rating,SEO глазами клиентов 2026,https://m.seonews.ru/events/seonews-podvel-itogi-masshtabnogo-reytinga-seo-glazami-klientov-2026/amp/,2026-06-23,2026-08-08,secondary,"C5;C6",0.60,"относится к SEO-рынку в целом, а не к GEO-услуге напрямую",COLLECTED
SRC-HP-002,Head Promo,official_case_catalog,Каталог GEO-кейсов,https://head-promo.ru/tematika/geo/,2026-08-08,2026-08-08,primary,"C2;C3;C4",0.80,"self-reported",COLLECTED
SRC-HP-003,Head Promo,official_case,Кейс транспортной компании Central Trans,https://head-promo.ru/portfolio/kak-my-prodvigali-brend-i-sajt-transportnoj-kompanii-v-otvetah-nejrosetej/,2025,2026-08-08,primary,"C2;C3",0.80,"self-reported; нет независимого аудита причинности и заявок",COLLECTED
SRC-HP-004,Head Promo,official_case,Кейс приложения Clatch,https://head-promo.ru/portfolio/kejs-geo-prodvizhenie-mobilnogo-prilozheniya-clatch/,2026,2026-08-08,primary,"C2;C3",0.80,"self-reported; нет независимого аудита результата",COLLECTED
SRC-HP-005,Head Promo,official_experiment,Эксперимент с несуществующим автодилером,https://head-promo.ru/portfolio/kejs-eksperiment-prodvizhenie-sajta-nesushhestvuyushhego-avtodilera/,2025-10,2026-08-08,primary,"C2;C4",0.80,"эксперимент на искусственной сущности; не клиентский кейс",COLLECTED
SRC-HP-006,Head Promo,external_event,Вебинар о продвижении в AI-выдаче,https://m.seonews.ru/calendar/kak-prodvinut-kompaniyu-v-ai-vydache-neyrosetey-08-21/amp/,2025-08-21,2026-08-08,secondary,"C4;C6",0.40,"анонс подтверждает роль и тему, но не проверяет содержание и результат кейса",COLLECTED
SRC-VV-002,VVERH DIGITAL,official_article,GEO в 2026: как попасть в ответы нейросетей,https://vverh.digital/blog/geo-prodvizhenie-2026-kak-brendy-popayut-v-otvety-nejrosetej/,2026-06-04,2026-08-08,primary,"C1;C2;C4",1.00,"owned educational source; упомянутые кейсы требуют отдельного подтверждения",COLLECTED
SRC-VV-003,VVERH DIGITAL,official_article,Что такое GEO продвижение: обман или реальность,https://vverh.digital/blog/,2026-04-20,2026-08-08,primary,"C1;C4",0.80,"в реестре зафиксирован каталог; точная статья требует отдельного URL",COLLECTED
SRC-VV-004,VVERH DIGITAL,official_service,GEO AEO продвижение,https://vverh.digital/geo-prodvizhenie-ai/,2026-08-08,2026-08-08,primary,"C1;C2;C5",0.80,"дата публикации страницы не установлена; кейсовый блок на странице не отделяет GEO-кейсы от общего портфолио",COLLECTED
SRC-VV-005,VVERH DIGITAL,official_article,Что такое GEO продвижение: обман или реальность,https://vverh.digital/blog/what-is-geo-chto-takoe/,2026-04-20,2026-08-08,primary,"C1;C2;C4",1.00,"owned source; примеры не являются независимым аудитом",COLLECTED
SRC-DG-003,Digital Geeks,official_case_catalog,Каталог GEO-кейсов,https://digitalgeeks.ru/cat-cases/geo/,2026-08-08,2026-08-08,primary,"C2;C3;C4",0.80,"self-reported; содержит как именованные, так и обезличенные кейсы",COLLECTED
SRC-DG-004,Digital Geeks,official_case,Собственный кейс Digital Geeks,https://digitalgeeks.ru/cases/pervye-mesta-v-chatgpt-yandeks-alise-i-perplexity-kejs-geeks/,2026,2026-08-08,primary,"C2;C3",0.80,"self-case; авторы прямо ограничивают причинную атрибуцию",COLLECTED
SRC-DG-005,Digital Geeks,official_case,GEO-кейс AEON,https://digitalgeeks.ru/cases/geo-kejs-dlya-developera-premium-kommercheskoj-nedvizhimosti-pervye-mesta-v-ai-poiske/,2026,2026-08-08,primary,"C2;C3",0.80,"self-reported; результат не подтверждён независимым аудитом",COLLECTED
SRC-DG-006,Digital Geeks,official_guide,Руководство по GEO для брендов,https://digitalgeeks.ru/blog/geo-kak-brendam-popast-v-vidachy-ai-assistentov/,2025-07-12,2026-08-08,primary,"C1;C2;C4",1.00,"обновлено 2026-01-13; owned source",COLLECTED
SRC-PP-007,Пиксель Плюс,official_research_catalog,Новости и исследования Пиксель Тулс по GEO,https://tools.pixelplus.ru/news/,2026-07-27,2026-08-08,primary,"M8;M9;M14",0.80,"каталог owned-источника; отдельные исследования требуют собственных карточек",COLLECTED
SRC-PP-008,Пиксель Плюс,official_research,Рейтинг 43 GEO-факторов,https://tools.pixelplus.ru/news/,2026-07-23,2026-08-08,primary,"M7;M9",0.60,"описание исследования найдено в каталоге; точный публичный dataset и протокол ещё проверяются",PARTIAL
SRC-PP-009,Пиксель Плюс,official_product_update,Конверсия трафика из нейросетей в GEO-проектах,https://tools.pixelplus.ru/news/konversiya-trafika-iz-neyrosetey,2026-07-14,2026-08-08,primary,"M8;M14",0.80,"подтверждает функциональность собственного инструмента; не подтверждает клиентский бизнес-результат",COLLECTED
SRC-PP-010,Пиксель Плюс,official_event,Конференция GEO-кейс 2026,https://pixelplus.ru/studio/news/konferentsiya-geo-keys-2026-ot-piksel-tuls.html,2026-04-30,2026-08-08,primary,"M9;M10;M13",0.80,"owned event report; подтверждает организационный и исследовательский контур",COLLECTED
SRC-HP-007,Head Promo,official_research,Доля рынка нейросетей в России 2025–2026,https://head-promo.ru/blog/dolya-rynka-nejrosetej-v-rf-dlya-geo-prodvizheniya-v-ii/,2026-02-25,2026-08-08,primary,"M8;M9",0.80,"смешивает внешние исследования и собственные оценки; ограничения раскрыты",COLLECTED
SRC-HP-008,Head Promo,official_guide,Чек-лист продвижения компании в ответах нейросетей,https://head-promo.ru/blog/chek-list-po-prodvizheniyu-kompanii-v-otvetah-nejrosetej/,2025-09-04,2026-08-08,primary,"M7;M9",0.80,"owned practical guide",COLLECTED
SRC-DG-007,Digital Geeks,official_case,Кейс страховой компании: AI-видимость 40%→71%,https://digitalgeeks.ru/cases/geo-kejs-strahovoj-kompanii-podnyali-ai-vidimost-do-71/,2026-07,2026-08-08,primary,"M3;M4;M8",0.80,"анонимизированный self-reported кейс; baseline и итоговые метрики раскрыты",COLLECTED
SRC-DG-008,Digital Geeks,official_case,Кейс производителя витаминов,https://digitalgeeks.ru/cases/zanyali-pervye-mesta-v-perplexity-i-3-mesto-v-yandeks-alise-vsego-za-2-mesyaca/,2026,2026-08-08,primary,"M3;M4;M8",0.80,"анонимизированный self-reported кейс; раскрыты продукты и период",COLLECTED
SRC-DG-009,Digital Geeks,official_case,Кейс AEON Estate F-375,https://digitalgeeks.ru/cases/geo-kejs-dlya-developera-premium-kommercheskoj-nedvizhimosti-pervye-mesta-v-ai-poiske/,2026-07,2026-08-08,primary,"M3;M4;M8",0.80,"именованный self-reported кейс; заявленные позиции не прошли независимый аудит",COLLECTED
SRC-DG-010,Digital Geeks,official_profile,О компании Digital Geeks,https://digitalgeeks.ru/about/,2026-08-08,2026-08-08,primary,"M11;M12;M13",0.60,"позиционирование performance-first; GEO является одним из направлений",COLLECTED
SRC-NR-005,NeuroReach,official_method,Официальное описание метрик и продуктового контура,https://neuroreach.ru/,2026-08-08,2026-08-08,primary,"M7;M8;M11;M16;M17",0.80,"self-reported; договорная гарантия не проверяется страницей",COLLECTED
SRC-NR-006,NeuroReach,external_ugc_listing,Описание узкой специализации NeuroReach,https://www.sostav.ru/blogs/284204/94635,2026-07,2026-08-08,secondary,"M10;M11",0.40,"UGC-источник; независимость и методика отбора не установлены",COLLECTED
SRC-PP-011,Пиксель Плюс,official_profile,Пиксель Плюс в цифрах,https://pixelplus.ru/,2026-08-08,2026-08-08,primary,"M12;M13;M14",0.80,"self-reported: 20 лет, 150+ сотрудников, 250+ проектов в продвижении",COLLECTED
SRC-HP-009,Head Promo,official_profile,О компании Head Promo,https://head-promo.ru/about-us/,2026-08-08,2026-08-08,primary,"M12;M13",0.60,"подтверждает публично названные роли; дата основания и объём GEO-производства не установлены",PARTIAL
