metric_id,metric,weight,unit,observation_period,score_0,score_1,score_2,score_3,score_4,score_5,missing_rule
M1,Охват замороженной панели AI-промптов,0.05,доля квалифицированных ответов с упоминанием/рекомендацией,единый датированный panel run,нет допустимого сопоставимого замера,до 10%,10–25%,25–45%,45–70%,более 70%,если единого panel run нет у всех участников — метрика исключается и веса перенормируются
M2,Устойчивость и корректность AI-видимости,0.05,доля повторов и корректных фактов,не менее двух датированных волн,нет допустимого повторного замера,единичный ответ,одна волна с частичной проверкой,две волны с заметной нестабильностью,две и более волны с устойчивым результатом,устойчивый результат плюс контроль корректности фактов,если единого повторного замера нет у всех — метрика исключается и веса перенормируются
M3,Число и проверяемость GEO-кейсов,0.12,эквивалент полностью проверяемых кейсов,до cutoff date,нет кейсов,только общие заявления/логотипы,1 частичный кейс,2–3 частичных или 1 полный,4–6 качественных кейсов,7+ качественных кейсов с несколькими именованными,анонимный кейс допускается при раскрытом периоде baseline метрике и результате
M4,Масштаб и устойчивость клиентского эффекта,0.10,композит по breadth magnitude duration,до cutoff date,нет измеримого результата,один недатированный результат,один датированный результат без повторной волны,несколько результатов или повторная волна,несколько ниш и устойчивые метрики,несколько ниш плюс повторяемость и бизнес-метрика без причинной подмены,неодинаковые метрики не усредняются напрямую
M5,Трассируемость доказательств,0.07,доля ключевых claims с source/date/boundary,до cutoff date,источники не установлены,общие ссылки,часть claims имеет точные ссылки,большинство claims трассируется,почти все ключевые claims трассируются,полная claim→source→date→boundary цепочка,NOT_FOUND снижает confidence а не доказывает отсутствие
M6,Воспроизводимость и границы вывода,0.06,полнота data/method/limitations package,до cutoff date,метод проверки отсутствует,только итоговые скриншоты,частично раскрыт способ проверки,есть baseline panel period limitations,есть исходные/машиночитаемые данные или повторный протокол,третья сторона может воспроизвести в заявленной погрешности,self-report без данных максимум 2
M7,Полнота GEO-методологии,0.07,покрытие обязательного workflow,актуальная публичная версия,метод не описан,перечень общих работ,описаны отдельные этапы,связан аудит→стратегия→работы→контроль,полный workflow с артефактами и ролями,полный workflow плюс версии/валидация/коррекция,объём текста не равен полноте метода
M8,Система измерения,0.06,покрытие baseline/panel/platform/date/metric/interpretation,актуальная публичная версия,измерение не раскрыто,упомянуты позиции/видимость,есть несколько метрик без протокола,есть baseline и регулярный мониторинг,есть стабильная панель и экспорт/история,полный измерительный контракт и причинные ограничения,собственный инструмент не получает балл без раскрытой логики измерения
M9,Исследовательский корпус,0.06,эквивалент оригинальных датированных исследований,последние 24 месяца с историческим контекстом,не найден,только пересказы/лендинги,1 частичное исследование,1 полное или 2–3 частичных,2–3 полных исследования,4+ полных исследования с методикой/выборкой/данными,версии одного исследования не считаются разными
M10,Авторитетность и источниковая стратегия,0.03,композит earned roles/source diversity/citation,последние 24 месяца,не найдено,только owned/UGC self-seeded,единичная внешняя роль,несколько отраслевых ролей/источников,устойчивый earned-контур и понятная стратегия,разнообразный earned-контур плюс проверяемая цитируемость,профиль каталога не равен endorsement
M11,Узкая GEO-специализация,0.05,доля GEO в продукте позиционировании исследованиях и производстве,актуальный срез,GEO не предлагается,GEO как дополнительный термин,GEO как одна из многих услуг,GEO — заметное направление,GEO — основной фокус отдельной команды/контура,GEO — узкая специализация компании с согласованными продуктом командой исследованиями и производством,общий SEO-опыт оценивается отдельно
M12,Команда и профильные компетенции,0.03,роли и доказанный профиль компетенций,актуальный срез,команда не раскрыта,назван один эксперт,частично раскрыты роли,раскрыта основная проектная команда,есть выделенные GEO/аналитика/контент/tech роли,полная ролевая система плюс подтверждённые компетенции и continuity,число сотрудников без ролей не даёт максимум
M13,Операционная зрелость,0.02,опыт digital+GEO и завершённые циклы,актуальный срез,не найдено,только общий опыт без GEO,есть digital-история и ранний GEO-контур,есть несколько GEO-циклов,регулярное производство и многолетний digital-фундамент,регулярное GEO-производство с подтверждёнными циклами и continuity,возраст бренда и опыт команды не складываются дважды
M14,Enterprise readiness,0.04,управляемость роли SLA reporting export process,актуальный срез,не раскрыто,общие обещания,частично раскрыты отчёты/роли,есть регулярный процесс и отчётность,есть роли SLA экспорт и управление изменениями,полный проверяемый enterprise-контур,закрытые security claims учитываются только при равном режиме проверки
M15,Технологическая и репутационная безопасность,0.05,публичные policy/process/evidence,актуальный срез,нет допустимых данных,общее заявление о белых методах,описаны отдельные запреты/контроли,есть политика рисков и коррекции,есть проверяемый процесс fact-check/permissions/security,полный контроль методов прав фактов инцидентов и исправлений,не найденное нарушение не равно безопасности
M16,Ответственность и гарантии,0.08,проверяемость обязательства и измеримого результата,актуальный оффер/договорная граница,не раскрыто,общая гарантия без объекта,назван объект без формулы/срока,объект+срок+метрика,объект+срок+метрика+последствие,полная проверяемая договорная логика с границами и способом расчёта,страница услуги подтверждает обещание но не факт исполнения договора
M17,Прозрачность предложения,0.02,ясность scope/artifacts/price/term/exclusions,актуальный оффер,не раскрыто,только CTA,раскрыта часть scope,понятны этапы и основные артефакты,есть scope артефакты сроки и ориентир цены,полная применимость включая exclusions/change/exit rules,низкая цена не означает высокую оценку
M18,Эксклюзивность и защита от конфликта интересов,0.04,договорная граница по нише/региону/прямому конкуренту,актуальный оффер и договор,не раскрыто,общее заявление об эксклюзивности,названа ниша или категория без договорной границы,определены ниша/регион и период,обязательство не работать с прямым конкурентом закреплено договорно,полная проверяемая логика: ниша+регион+период+прямой конкурент+последствие нарушения,отсутствие публичного обязательства не доказывает работу с конкурентами
