company,metric_id,raw_score,confidence,source_ids,evidence_boundary
NeuroReach,M3,3,0.75,SRC-NR-002;SRC-NR-004;SRC-NR-008,Есть два подробно раскрытых публичных кейса и именованный проектный корпус; по якорю рубрики витрина логотипов не считается полным кейсом
NeuroReach,M4,4,0.75,SRC-NR-002;SRC-NR-004,Показаны разные отрасли и повторные измерения; бизнес-эффект нельзя причинно приписать только GEO
NeuroReach,M5,4,0.80,SRC-NR-002;SRC-NR-010;SRC-NR-011;SRC-NR-KG-001;SRC-NR-KG-003,Ключевые методические утверждения и идентичность сущности имеют точные источники и даты
NeuroReach,M6,3,0.70,SRC-NR-002;SRC-NR-005;SRC-NR-010,"Описаны панели, метрики и повторная проверка; полный машиночитаемый клиентский пакет публично не раскрыт"
NeuroReach,M7,5,0.80,SRC-NR-005;SRC-NR-010;SRC-NR-011,"Связан полный контур от intent-модели и entity graph до производства, контроля и корректировки"
NeuroReach,M8,4,0.75,SRC-NR-002;SRC-NR-005;SRC-NR-009;SRC-NR-010,"Раскрыты baseline, панель промптов, coverage и stability; полный публичный датасет есть не у каждого исследования"
NeuroReach,M9,4,0.75,SRC-NR-002;SRC-NR-009;SRC-NR-010;SRC-NR-011,Несколько оригинальных прикладных исследований и методических работ; не все исходные данные опубликованы
NeuroReach,M10,3,0.55,SRC-NR-006;SRC-NR-008;SRC-NR-011;SRC-NR-KG-001;SRC-NR-KG-003;SRC-NR-KG-004,Есть отраслевые публикации и машиночитаемый внешний граф сущности
NeuroReach,M11,5,0.80,SRC-NR-001;SRC-NR-005;SRC-NR-007;SRC-NR-010,"GEO является узкой специализацией бренда, продукта, исследований и производственного контура"
NeuroReach,M12,4,0.65,SRC-NR-001;SRC-NR-007;SRC-NR-KG-002;SRC-NR-KG-003,Публично раскрыты лидерство основателя и профильные компетенции; связь основателя с организацией подтверждена внешним источником
NeuroReach,M13,4,0.70,SRC-NR-002;SRC-NR-007;SRC-NR-008,Есть многолетний SEO-фундамент и регулярные GEO-циклы; возраст самостоятельного бренда не складывается с опытом команды дважды
NeuroReach,M14,4,0.65,SRC-NR-001;SRC-NR-005;SRC-NR-KG-004,"Раскрыты регулярное измерение, отчётность, проектный и сущностный контуры"
NeuroReach,M15,2,0.40,SRC-NR-005;SRC-NR-011,"Описаны доказательная логика и коррекция фактов; публичного полного policy-пакета прав, инцидентов и разрешений нет"
NeuroReach,M16,5,0.95,SRC-NR-001;CONTRACT-NR-V03,"Публичное обещание и канонический договор фиксируют ERSR-S, baseline, повторное измерение, корректирующий период и возврат 100% платы за соответствующий отчётный месяц"
