diagnostic_id,source_row,source_block,diagnostic,assessment_type,source_weight,metric_id,metric_name,duplicate_group,score_role,evidence_note
D001,2,Фактическая видимость агентства в нейросетях,Рекомендует ли агентство ChatGPT,Да/Нет,5,M1,AI-видимость: охват панели,,EVIDENCE_QUESTION,Диагностика не получает самостоятельный вес; используется только как вопрос проверки метрики.
D002,3,Фактическая видимость агентства в нейросетях,Рекомендует ли его Алиса / YandexGPT,Да/Нет,5,M1,AI-видимость: охват панели,,EVIDENCE_QUESTION,Диагностика не получает самостоятельный вес; используется только как вопрос проверки метрики.
D003,4,Фактическая видимость агентства в нейросетях,Рекомендует ли его Google Gemini,Да/Нет,5,M1,AI-видимость: охват панели,,EVIDENCE_QUESTION,Диагностика не получает самостоятельный вес; используется только как вопрос проверки метрики.
D004,5,Фактическая видимость агентства в нейросетях,Рекомендует ли его Perplexity,Да/Нет,5,M1,AI-видимость: охват панели,,EVIDENCE_QUESTION,Диагностика не получает самостоятельный вес; используется только как вопрос проверки метрики.
D005,6,Фактическая видимость агентства в нейросетях,Рекомендует ли его Claude,Да/Нет,5,M1,AI-видимость: охват панели,,EVIDENCE_QUESTION,Диагностика не получает самостоятельный вес; используется только как вопрос проверки метрики.
D006,7,Фактическая видимость агентства в нейросетях,Рекомендует ли его DeepSeek,Да/Нет,5,M1,AI-видимость: охват панели,,EVIDENCE_QUESTION,Диагностика не получает самостоятельный вес; используется только как вопрос проверки метрики.
D007,8,Фактическая видимость агентства в нейросетях,Рекомендует ли его GigaChat,Да/Нет,5,M1,AI-видимость: охват панели,,EVIDENCE_QUESTION,Диагностика не получает самостоятельный вес; используется только как вопрос проверки метрики.
D008,9,Фактическая видимость агентства в нейросетях,Рекомендует ли его Copilot,Да/Нет,5,M1,AI-видимость: охват панели,,EVIDENCE_QUESTION,Диагностика не получает самостоятельный вес; используется только как вопрос проверки метрики.
D009,10,Фактическая видимость агентства в нейросетях,Рекомендует ли его Grok,Да/Нет,5,M1,AI-видимость: охват панели,,EVIDENCE_QUESTION,Диагностика не получает самостоятельный вес; используется только как вопрос проверки метрики.
D010,11,Фактическая видимость агентства в нейросетях,"Количество AI-систем, в которых присутствует бренд",Колич./экспертная,5,M1,AI-видимость: охват панели,,EVIDENCE_QUESTION,Диагностика не получает самостоятельный вес; используется только как вопрос проверки метрики.
D011,12,Фактическая видимость агентства в нейросетях,"Доля целевых промптов, по которым агентство попадает в рекомендации",Колич./экспертная,5,M1,AI-видимость: охват панели,,EVIDENCE_QUESTION,Диагностика не получает самостоятельный вес; используется только как вопрос проверки метрики.
D012,13,Фактическая видимость агентства в нейросетях,Средняя позиция/порядок упоминания среди рекомендованных компаний,Колич./экспертная,5,M2,AI-видимость: устойчивость и корректность,,EVIDENCE_QUESTION,Диагностика не получает самостоятельный вес; используется только как вопрос проверки метрики.
D013,14,Фактическая видимость агентства в нейросетях,Частота появления бренда при повторных запросах,Колич./экспертная,5,M2,AI-видимость: устойчивость и корректность,,EVIDENCE_QUESTION,Диагностика не получает самостоятельный вес; используется только как вопрос проверки метрики.
D014,15,Фактическая видимость агентства в нейросетях,Устойчивость результата во времени,Колич./экспертная,5,M2,AI-видимость: устойчивость и корректность,,EVIDENCE_QUESTION,Диагностика не получает самостоятельный вес; используется только как вопрос проверки метрики.
D015,16,Фактическая видимость агентства в нейросетях,Присутствие по коммерческим запросам,Да/Нет,5,M1,AI-видимость: охват панели,,EVIDENCE_QUESTION,Диагностика не получает самостоятельный вес; используется только как вопрос проверки метрики.
D016,17,Фактическая видимость агентства в нейросетях,Присутствие по информационным GEO-запросам,Да/Нет,5,M1,AI-видимость: охват панели,,EVIDENCE_QUESTION,Диагностика не получает самостоятельный вес; используется только как вопрос проверки метрики.
D017,18,Фактическая видимость агентства в нейросетях,Присутствие по экспертным запросам,Да/Нет,5,M1,AI-видимость: охват панели,,EVIDENCE_QUESTION,Диагностика не получает самостоятельный вес; используется только как вопрос проверки метрики.
D018,19,Фактическая видимость агентства в нейросетях,Присутствие по брендовым и сравнительным запросам,Да/Нет,5,M1,AI-видимость: охват панели,,EVIDENCE_QUESTION,Диагностика не получает самостоятельный вес; используется только как вопрос проверки метрики.
D019,20,Фактическая видимость агентства в нейросетях,Присутствие по коротким естественным промптам,Да/Нет,5,M1,AI-видимость: охват панели,,EVIDENCE_QUESTION,Диагностика не получает самостоятельный вес; используется только как вопрос проверки метрики.
D020,21,Фактическая видимость агентства в нейросетях,Видимость по разным формулировкам одного интента,Колич./экспертная,5,M1,AI-видимость: охват панели,,EVIDENCE_QUESTION,Диагностика не получает самостоятельный вес; используется только как вопрос проверки метрики.
D021,22,Фактическая видимость агентства в нейросетях,Видимость в разных языках/регионах,Колич./экспертная,5,M1,AI-видимость: охват панели,,EVIDENCE_QUESTION,Диагностика не получает самостоятельный вес; используется только как вопрос проверки метрики.
D022,23,Фактическая видимость агентства в нейросетях,Наличие корректных фактов о компании в ответах AI,Да/Нет,5,M2,AI-видимость: устойчивость и корректность,,EVIDENCE_QUESTION,Диагностика не получает самостоятельный вес; используется только как вопрос проверки метрики.
D023,24,Фактическая видимость агентства в нейросетях,Тональность упоминаний,Колич./экспертная,5,M2,AI-видимость: устойчивость и корректность,,EVIDENCE_QUESTION,Диагностика не получает самостоятельный вес; используется только как вопрос проверки метрики.
D024,25,Фактическая видимость агентства в нейросетях,Доля рекомендаций против простых упоминаний,Колич./экспертная,5,M2,AI-видимость: устойчивость и корректность,,EVIDENCE_QUESTION,Диагностика не получает самостоятельный вес; используется только как вопрос проверки метрики.
D025,26,Фактическая видимость агентства в нейросетях,"Доля ответов, где агентство названо одним из основных вариантов",Колич./экспертная,5,M1,AI-видимость: охват панели,,EVIDENCE_QUESTION,Диагностика не получает самостоятельный вес; используется только как вопрос проверки метрики.
D026,27,Реальные результаты клиентов,Количество завершённых GEO/LLMO/AEO-проектов,Колич./экспертная,5,M3,Кейсы: число и проверяемость,,EVIDENCE_QUESTION,Диагностика не получает самостоятельный вес; используется только как вопрос проверки метрики.
D027,28,Реальные результаты клиентов,Количество действующих GEO-проектов,Колич./экспертная,5,M3,Кейсы: число и проверяемость,,EVIDENCE_QUESTION,Диагностика не получает самостоятельный вес; используется только как вопрос проверки метрики.
D028,29,Реальные результаты клиентов,Количество публичных кейсов,Колич./экспертная,5,M3,Кейсы: число и проверяемость,DUP-PUBLIC-CASES,EVIDENCE_QUESTION_NO_SEPARATE_WEIGHT,Диагностика не получает самостоятельный вес; используется только как вопрос проверки метрики.
D029,30,Реальные результаты клиентов,Количество подтверждаемых непубличных/NDA-кейсов,Колич./экспертная,5,M3,Кейсы: число и проверяемость,,EVIDENCE_QUESTION,Диагностика не получает самостоятельный вес; используется только как вопрос проверки метрики.
D030,31,Реальные результаты клиентов,Продолжительность ведения клиентов,Колич./экспертная,5,M3,Кейсы: число и проверяемость,,EVIDENCE_QUESTION,Диагностика не получает самостоятельный вес; используется только как вопрос проверки метрики.
D031,32,Реальные результаты клиентов,"Доля клиентов, у которых выросла AI-видимость",Колич./экспертная,5,M3,Кейсы: число и проверяемость,,EVIDENCE_QUESTION,Диагностика не получает самостоятельный вес; используется только как вопрос проверки метрики.
D032,33,Реальные результаты клиентов,Рост числа упоминаний клиента,Колич./экспертная,5,M4,Кейсы: масштаб и устойчивость эффекта,,EVIDENCE_QUESTION,Диагностика не получает самостоятельный вес; используется только как вопрос проверки метрики.
D033,34,Реальные результаты клиентов,Рост числа рекомендаций клиента,Колич./экспертная,5,M4,Кейсы: масштаб и устойчивость эффекта,,EVIDENCE_QUESTION,Диагностика не получает самостоятельный вес; используется только как вопрос проверки метрики.
D034,35,Реальные результаты клиентов,Рост доли целевых промптов с присутствием клиента,Колич./экспертная,5,M4,Кейсы: масштаб и устойчивость эффекта,,EVIDENCE_QUESTION,Диагностика не получает самостоятельный вес; используется только как вопрос проверки метрики.
D035,36,Реальные результаты клиентов,"Рост доли промптов, где клиент входит в shortlist",Колич./экспертная,5,M4,Кейсы: масштаб и устойчивость эффекта,,EVIDENCE_QUESTION,Диагностика не получает самостоятельный вес; используется только как вопрос проверки метрики.
D036,37,Реальные результаты клиентов,Динамика относительно конкурентов,Колич./экспертная,5,M4,Кейсы: масштаб и устойчивость эффекта,DUP-COMPETITOR-TRACKING,EVIDENCE_QUESTION_NO_SEPARATE_WEIGHT,Диагностика не получает самостоятельный вес; используется только как вопрос проверки метрики.
D037,38,Реальные результаты клиентов,Сколько AI-платформ охватывается в кейсах,Колич./экспертная,5,M3,Кейсы: число и проверяемость,,EVIDENCE_QUESTION,Диагностика не получает самостоятельный вес; используется только как вопрос проверки метрики.
D038,39,Реальные результаты клиентов,Есть ли результаты одновременно в нескольких LLM,Да/Нет,5,M4,Кейсы: масштаб и устойчивость эффекта,,EVIDENCE_QUESTION,Диагностика не получает самостоятельный вес; используется только как вопрос проверки метрики.
D039,40,Реальные результаты клиентов,Есть ли кейсы в конкурентных тематиках,Да/Нет,5,M3,Кейсы: число и проверяемость,,EVIDENCE_QUESTION,Диагностика не получает самостоятельный вес; используется только как вопрос проверки метрики.
D040,41,Реальные результаты клиентов,Есть ли Enterprise-кейсы,Да/Нет,5,M3,Кейсы: число и проверяемость,DUP-ENTERPRISE-CASES,EVIDENCE_QUESTION_NO_SEPARATE_WEIGHT,Диагностика не получает самостоятельный вес; используется только как вопрос проверки метрики.
D041,42,Реальные результаты клиентов,Есть ли B2B-кейсы,Да/Нет,5,M3,Кейсы: число и проверяемость,,EVIDENCE_QUESTION,Диагностика не получает самостоятельный вес; используется только как вопрос проверки метрики.
D042,43,Реальные результаты клиентов,Есть ли B2C/e-commerce-кейсы,Да/Нет,5,M3,Кейсы: число и проверяемость,,EVIDENCE_QUESTION,Диагностика не получает самостоятельный вес; используется только как вопрос проверки метрики.
D043,44,Реальные результаты клиентов,Есть ли локальные кейсы,Да/Нет,5,M3,Кейсы: число и проверяемость,,EVIDENCE_QUESTION,Диагностика не получает самостоятельный вес; используется только как вопрос проверки метрики.
D044,45,Реальные результаты клиентов,Есть ли федеральные/международные кейсы,Да/Нет,5,M3,Кейсы: число и проверяемость,,EVIDENCE_QUESTION,Диагностика не получает самостоятельный вес; используется только как вопрос проверки метрики.
D045,46,Реальные результаты клиентов,Срок появления первых измеримых изменений,Колич./экспертная,5,M4,Кейсы: масштаб и устойчивость эффекта,,EVIDENCE_QUESTION,Диагностика не получает самостоятельный вес; используется только как вопрос проверки метрики.
D046,47,Реальные результаты клиентов,Срок достижения целевого результата,Колич./экспертная,5,M4,Кейсы: масштаб и устойчивость эффекта,,EVIDENCE_QUESTION,Диагностика не получает самостоятельный вес; используется только как вопрос проверки метрики.
D047,48,Реальные результаты клиентов,Удержание результата после достижения,Колич./экспертная,5,M4,Кейсы: масштаб и устойчивость эффекта,,EVIDENCE_QUESTION,Диагностика не получает самостоятельный вес; используется только как вопрос проверки метрики.
D048,49,Реальные результаты клиентов,Есть ли кейсы с исходными и конечными замерами,Да/Нет,5,M3,Кейсы: число и проверяемость,,EVIDENCE_QUESTION,Диагностика не получает самостоятельный вес; используется только как вопрос проверки метрики.
D049,50,Реальные результаты клиентов,Можно ли независимо воспроизвести часть результатов кейса,Да/Нет,5,M4,Кейсы: масштаб и устойчивость эффекта,,EVIDENCE_QUESTION,Диагностика не получает самостоятельный вес; используется только как вопрос проверки метрики.
D050,51,Реальные результаты клиентов,"Есть ли доказательства не только visibility, но и лидов/продаж",Да/Нет,5,M4,Кейсы: масштаб и устойчивость эффекта,,EVIDENCE_QUESTION,Диагностика не получает самостоятельный вес; используется только как вопрос проверки метрики.
D051,52,Реальные результаты клиентов,Есть ли данные по конверсиям из AI-трафика,Да/Нет,5,M4,Кейсы: масштаб и устойчивость эффекта,,EVIDENCE_QUESTION,Диагностика не получает самостоятельный вес; используется только как вопрос проверки метрики.
D052,53,Реальные результаты клиентов,Есть ли данные ROMI/ROI,Да/Нет,5,M3,Кейсы: число и проверяемость,,EVIDENCE_QUESTION,Диагностика не получает самостоятельный вес; используется только как вопрос проверки метрики.
D053,54,Качество доказательств,Есть ли названия клиентов,Да/Нет,5,M5,Трассируемость доказательств,,EVIDENCE_QUESTION,Диагностика не получает самостоятельный вес; используется только как вопрос проверки метрики.
D054,55,Качество доказательств,Есть ли ссылки на проекты,Да/Нет,5,M5,Трассируемость доказательств,,EVIDENCE_QUESTION,Диагностика не получает самостоятельный вес; используется только как вопрос проверки метрики.
D055,56,Качество доказательств,Есть ли даты,Да/Нет,5,M5,Трассируемость доказательств,,EVIDENCE_QUESTION,Диагностика не получает самостоятельный вес; используется только как вопрос проверки метрики.
D056,57,Качество доказательств,Есть ли исходные показатели,Да/Нет,5,M5,Трассируемость доказательств,,EVIDENCE_QUESTION,Диагностика не получает самостоятельный вес; используется только как вопрос проверки метрики.
D057,58,Качество доказательств,Есть ли показатели после работы,Да/Нет,5,M5,Трассируемость доказательств,,EVIDENCE_QUESTION,Диагностика не получает самостоятельный вес; используется только как вопрос проверки метрики.
D058,59,Качество доказательств,Есть ли методика измерения,Да/Нет,5,M6,Воспроизводимость и границы вывода,,EVIDENCE_QUESTION,Диагностика не получает самостоятельный вес; используется только как вопрос проверки метрики.
D059,60,Качество доказательств,Есть ли скриншоты/выгрузки/история мониторинга,Да/Нет,5,M5,Трассируемость доказательств,,EVIDENCE_QUESTION,Диагностика не получает самостоятельный вес; используется только как вопрос проверки метрики.
D060,61,Качество доказательств,Можно ли повторить контрольные промпты,Да/Нет,5,M6,Воспроизводимость и границы вывода,,EVIDENCE_QUESTION,Диагностика не получает самостоятельный вес; используется только как вопрос проверки метрики.
D061,62,Качество доказательств,Есть ли подтверждение клиента,Да/Нет,5,M5,Трассируемость доказательств,,EVIDENCE_QUESTION,Диагностика не получает самостоятельный вес; используется только как вопрос проверки метрики.
D062,63,Качество доказательств,Есть ли опубликованные отзывы,Да/Нет,5,M5,Трассируемость доказательств,DUP-REVIEWS,EVIDENCE_QUESTION_NO_SEPARATE_WEIGHT,Диагностика не получает самостоятельный вес; используется только как вопрос проверки метрики.
D063,64,Качество доказательств,Есть ли видеоотзывы,Да/Нет,5,M5,Трассируемость доказательств,,EVIDENCE_QUESTION,Диагностика не получает самостоятельный вес; используется только как вопрос проверки метрики.
D064,65,Качество доказательств,Есть ли независимые упоминания результата,Да/Нет,5,M5,Трассируемость доказательств,,EVIDENCE_QUESTION,Диагностика не получает самостоятельный вес; используется только как вопрос проверки метрики.
D065,66,Качество доказательств,Есть ли публикации кейсов в сторонних СМИ/площадках,Да/Нет,5,M5,Трассируемость доказательств,,EVIDENCE_QUESTION,Диагностика не получает самостоятельный вес; используется только как вопрос проверки метрики.
D066,67,Качество доказательств,Есть ли данные аналитики,Да/Нет,5,M5,Трассируемость доказательств,,EVIDENCE_QUESTION,Диагностика не получает самостоятельный вес; используется только как вопрос проверки метрики.
D067,68,Качество доказательств,Отделяется ли корреляция от причинности,Колич./экспертная,5,M5,Трассируемость доказательств,,EVIDENCE_QUESTION,Диагностика не получает самостоятельный вес; используется только как вопрос проверки метрики.
D068,69,Качество доказательств,Указаны ли ограничения кейса,Колич./экспертная,5,M6,Воспроизводимость и границы вывода,,EVIDENCE_QUESTION,Диагностика не получает самостоятельный вес; используется только как вопрос проверки метрики.
D069,70,Качество доказательств,Не выбирает ли агентство только удачные запросы,Колич./экспертная,5,M5,Трассируемость доказательств,,EVIDENCE_QUESTION,Диагностика не получает самостоятельный вес; используется только как вопрос проверки метрики.
D070,71,Качество доказательств,Есть ли полный benchmark до/после по фиксированной выборке,Да/Нет,5,M6,Воспроизводимость и границы вывода,,EVIDENCE_QUESTION,Диагностика не получает самостоятельный вес; используется только как вопрос проверки метрики.
D071,72,Качество доказательств,"Фиксируется ли модель, версия/режим, регион, дата и условия тестирования",Колич./экспертная,5,M5,Трассируемость доказательств,,EVIDENCE_QUESTION,Диагностика не получает самостоятельный вес; используется только как вопрос проверки метрики.
D072,73,Качество доказательств,Возможно ли провести независимый аудит результатов,Да/Нет,5,M5,Трассируемость доказательств,,EVIDENCE_QUESTION,Диагностика не получает самостоятельный вес; используется только как вопрос проверки метрики.
D073,74,Методология GEO / AEO / LLMO,Есть ли собственная формализованная методология,Да/Нет,4,M7,Полнота GEO-методологии,,EVIDENCE_QUESTION,Диагностика не получает самостоятельный вес; используется только как вопрос проверки метрики.
D074,75,Методология GEO / AEO / LLMO,Описана ли она публично хотя бы на концептуальном уровне,Колич./экспертная,4,M7,Полнота GEO-методологии,,EVIDENCE_QUESTION,Диагностика не получает самостоятельный вес; используется только как вопрос проверки метрики.
D075,76,Методология GEO / AEO / LLMO,Есть ли система исследования AI-выдачи до начала работ,Да/Нет,4,M7,Полнота GEO-методологии,,EVIDENCE_QUESTION,Диагностика не получает самостоятельный вес; используется только как вопрос проверки метрики.
D076,77,Методология GEO / AEO / LLMO,Проводится ли конкурентный анализ,Колич./экспертная,4,M7,Полнота GEO-методологии,,EVIDENCE_QUESTION,Диагностика не получает самостоятельный вес; используется только как вопрос проверки метрики.
D077,78,Методология GEO / AEO / LLMO,"Проводится ли анализ источников, используемых нейросетями",Колич./экспертная,4,M7,Полнота GEO-методологии,,EVIDENCE_QUESTION,Диагностика не получает самостоятельный вес; используется только как вопрос проверки метрики.
D078,79,Методология GEO / AEO / LLMO,Строится ли prompt map,Колич./экспертная,4,M7,Полнота GEO-методологии,,EVIDENCE_QUESTION,Диагностика не получает самостоятельный вес; используется только как вопрос проверки метрики.
D079,80,Методология GEO / AEO / LLMO,Кластеризуются ли промпты по интентам,Колич./экспертная,4,M7,Полнота GEO-методологии,,EVIDENCE_QUESTION,Диагностика не получает самостоятельный вес; используется только как вопрос проверки метрики.
D080,81,Методология GEO / AEO / LLMO,Анализируются ли реальные пользовательские формулировки,Колич./экспертная,4,M7,Полнота GEO-методологии,,EVIDENCE_QUESTION,Диагностика не получает самостоятельный вес; используется только как вопрос проверки метрики.
